danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,primary_artist
0.52,0.287,0,-11.775,1,0.0385,0.906,0,0.0756,0.213,151.185,audio_features,6QtBvQVb03I6ex0fXMf9ga,spotify:track:6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/tracks/6QtBvQVb03I6ex0fXMf9ga,https://api.spotify.com/v1/audio-analysis/6QtBvQVb03I6ex0fXMf9ga,230660,4,Raleigh,Beulahbelle
0.364,0.294,0,-6.578,0,0.0504,0.833,0,0.264,0.125,79.477,audio_features,2VFetGqLYq0Pc8ZtRYCaeL,spotify:track:2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/tracks/2VFetGqLYq0Pc8ZtRYCaeL,https://api.spotify.com/v1/audio-analysis/2VFetGqLYq0Pc8ZtRYCaeL,227749,3,In The Kitchen,Reneé Rapp
0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,audio_features,2GAhgAjOhEmItWLfgisyOn,spotify:track:2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/tracks/2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/audio-analysis/2GAhgAjOhEmItWLfgisyOn,181080,4,Low,SZA
0.604,0.666,4,-6.505,1,0.372,0.544,0,0.128,0.683,93.542,audio_features,65dO13qYabE4LDdQmjU4p6,spotify:track:65dO13qYabE4LDdQmjU4p6,https://api.spotify.com/v1/tracks/65dO13qYabE4LDdQmjU4p6,https://api.spotify.com/v1/audio-analysis/65dO13qYabE4LDdQmjU4p6,297668,4,Crack Sandwich,JID
0.786,0.475,1,-10.902,1,0.248,0.0919,9.6e-6,0.176,0.264,135,audio_features,2WrldKXSBVbNNm3A9vJryi,spotify:track:2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/tracks/2WrldKXSBVbNNm3A9vJryi,https://api.spotify.com/v1/audio-analysis/2WrldKXSBVbNNm3A9vJryi,227556,4,Dance Now (feat. Kenny Mason),JID
0.431,0.284,2,-11.858,1,0.0432,0.871,1.36e-4,0.0899,0.229,98.317,audio_features,7x8pIrhMu9FCmqqHNyuH0P,spotify:track:7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/tracks/7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/audio-analysis/7x8pIrhMu9FCmqqHNyuH0P,204067,1,cellophane,FKA twigs
0.684,0.671,7,-4.392,0,0.0464,0.189,2.37e-5,0.122,0.156,88.048,audio_features,2Hh3ETdQKrmSI3QS0hme7g,spotify:track:2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin
0.709,0.734,1,-5.027,1,0.125,0.0411,0,0.346,0.245,143.087,audio_features,2VtgzixdB967bHDNu5A1nh,spotify:track:2VtgzixdB967bHDNu5A1nh,https://api.spotify.com/v1/tracks/2VtgzixdB967bHDNu5A1nh,https://api.spotify.com/v1/audio-analysis/2VtgzixdB967bHDNu5A1nh,174560,4,Metro Spider (with Young Thug),Metro Boomin
0.559,0.719,4,-7.897,0,0.156,0.149,4.2e-6,0.46,0.532,76.184,audio_features,6ZGoFntcQUWTPGGQPQmecY,spotify:track:6ZGoFntcQUWTPGGQPQmecY,https://api.spotify.com/v1/tracks/6ZGoFntcQUWTPGGQPQmecY,https://api.spotify.com/v1/audio-analysis/6ZGoFntcQUWTPGGQPQmecY,224630,4,Kody Blu 31,JID
0.514,0.779,10,-4.365,0,0.344,0.181,0,0.099,0.517,152.869,audio_features,28qA8y1sz0FTuSapsCxNOG,spotify:track:28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/tracks/28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/audio-analysis/28qA8y1sz0FTuSapsCxNOG,222497,4,Father Time (feat. Sampha),Kendrick Lamar
0.521,0.526,5,-6.032,1,0.0281,0.243,0.00537,0.108,0.502,130.694,audio_features,37zuIvk4KBkAxxLJsxJaHq,spotify:track:37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/tracks/37zuIvk4KBkAxxLJsxJaHq,https://api.spotify.com/v1/audio-analysis/37zuIvk4KBkAxxLJsxJaHq,268293,4,Would That I,Hozier
0.628,0.5,6,-9.66,0,0.0268,0.44,0,0.244,0.68,124.932,audio_features,0GegHVxeozw3rdjte45Bfx,spotify:track:0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/tracks/0GegHVxeozw3rdjte45Bfx,https://api.spotify.com/v1/audio-analysis/0GegHVxeozw3rdjte45Bfx,147027,4,White Winter Hymnal,Fleet Foxes
0.637,0.695,2,-8.791,1,0.189,0.469,2.95e-6,0.569,0.521,90.045,audio_features,38PjQxCq5iXGPMTvvcH8dK,spotify:track:38PjQxCq5iXGPMTvvcH8dK,https://api.spotify.com/v1/tracks/38PjQxCq5iXGPMTvvcH8dK,https://api.spotify.com/v1/audio-analysis/38PjQxCq5iXGPMTvvcH8dK,106093,4,Gold Teeth,BROCKHAMPTON
0.723,0.478,8,-8.589,1,0.17,0.141,0,0.214,0.817,88.751,audio_features,0dRMqHJre73e9V0wOfwV6u,spotify:track:0dRMqHJre73e9V0wOfwV6u,https://api.spotify.com/v1/tracks/0dRMqHJre73e9V0wOfwV6u,https://api.spotify.com/v1/audio-analysis/0dRMqHJre73e9V0wOfwV6u,166947,4,All That,BROCKHAMPTON
0.624,0.433,6,-9.572,1,0.0467,0.837,0.0294,0.113,0.589,124.979,audio_features,4h5x3XHLVYFJaItKuO2rhy,spotify:track:4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/tracks/4h5x3XHLVYFJaItKuO2rhy,https://api.spotify.com/v1/audio-analysis/4h5x3XHLVYFJaItKuO2rhy,218587,4,Ghost in the Machine (feat. Phoebe Bridgers),SZA
0.428,0.439,5,-7.674,1,0.0591,0.57,0,0.153,0.418,150.007,audio_features,2Sjx8DWZO5zaTyTAmgo2gY,spotify:track:2Sjx8DWZO5zaTyTAmgo2gY,https://api.spotify.com/v1/tracks/2Sjx8DWZO5zaTyTAmgo2gY,https://api.spotify.com/v1/audio-analysis/2Sjx8DWZO5zaTyTAmgo2gY,244027,4,Gone Girl,SZA
