track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Maine,0.533,0.24,6,-9.512,1,0.0424,0.729,0,0.223,0.265,175.486,audio_features,2jwhWFNCPMZZ9pC86cw18p,spotify:track:2jwhWFNCPMZZ9pC86cw18p,https://api.spotify.com/v1/tracks/2jwhWFNCPMZZ9pC86cw18p,https://api.spotify.com/v1/audio-analysis/2jwhWFNCPMZZ9pC86cw18p,232618,4
Saturday Sun,0.637,0.864,8,-4.381,1,0.0468,0.484,0,0.222,0.706,99.995,audio_features,2RiBogNRfulkNf7fVbPOrJ,spotify:track:2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/tracks/2RiBogNRfulkNf7fVbPOrJ,https://api.spotify.com/v1/audio-analysis/2RiBogNRfulkNf7fVbPOrJ,214720,4
Fire In Bone,0.57,0.879,2,-3.797,1,0.0518,0.0151,2.58e-5,0.332,0.407,96.028,audio_features,49Cjuhaw2h9ulp2KxGUHMn,spotify:track:49Cjuhaw2h9ulp2KxGUHMn,https://api.spotify.com/v1/tracks/49Cjuhaw2h9ulp2KxGUHMn,https://api.spotify.com/v1/audio-analysis/49Cjuhaw2h9ulp2KxGUHMn,233373,4
Like Gold,0.477,0.712,7,-6.759,1,0.0653,0.224,8.36e-6,0.118,0.407,109.965,audio_features,6Od2OWvoT4embWAgIGeFRd,spotify:track:6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/tracks/6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/audio-analysis/6Od2OWvoT4embWAgIGeFRd,224400,4
Anchor,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,audio_features,7qH9Z4dJEN0l9bidizW7fq,spotify:track:7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/tracks/7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/audio-analysis/7qH9Z4dJEN0l9bidizW7fq,257533,4
Marinade,0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,audio_features,4zCrOO8OAjpnmekfIxzTsl,spotify:track:4zCrOO8OAjpnmekfIxzTsl,https://api.spotify.com/v1/tracks/4zCrOO8OAjpnmekfIxzTsl,https://api.spotify.com/v1/audio-analysis/4zCrOO8OAjpnmekfIxzTsl,237961,4
Daydreamer,0.605,0.56,10,-8.619,1,0.0792,0.039,3.24e-4,0.485,0.263,145.946,audio_features,7ihHmMBWoS3PqpFf9FPv7A,spotify:track:7ihHmMBWoS3PqpFf9FPv7A,https://api.spotify.com/v1/tracks/7ihHmMBWoS3PqpFf9FPv7A,https://api.spotify.com/v1/audio-analysis/7ihHmMBWoS3PqpFf9FPv7A,219058,4
Glue Myself Shut,0.656,0.304,1,-8.259,1,0.0473,0.864,0,0.356,0.718,147.935,audio_features,4MNsuFMRf9V78v8aYvLmPt,spotify:track:4MNsuFMRf9V78v8aYvLmPt,https://api.spotify.com/v1/tracks/4MNsuFMRf9V78v8aYvLmPt,https://api.spotify.com/v1/audio-analysis/4MNsuFMRf9V78v8aYvLmPt,195202,4
Love Me Now,0.739,0.378,0,-10.25,1,0.033,0.328,1.11e-6,0.128,0.591,109.003,audio_features,2lqkfo2n8WfqGD17lK06ep,spotify:track:2lqkfo2n8WfqGD17lK06ep,https://api.spotify.com/v1/tracks/2lqkfo2n8WfqGD17lK06ep,https://api.spotify.com/v1/audio-analysis/2lqkfo2n8WfqGD17lK06ep,243800,4
epiphany,0.354,0.267,1,-13.69,1,0.0281,0.731,4.02e-4,0.0858,0.113,94.219,audio_features,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/tracks/08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/audio-analysis/08fa9LFcFBTcilB3iq2e2A,289749,4
Georgia,0.388,0.66,11,-7.372,1,0.0308,0.312,3.07e-4,0.0943,0.401,143.554,audio_features,429EttO8gs0bDo2SQfUNSm,spotify:track:429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/tracks/429EttO8gs0bDo2SQfUNSm,https://api.spotify.com/v1/audio-analysis/429EttO8gs0bDo2SQfUNSm,230507,4
Close Behind,0.651,0.187,0,-10.547,1,0.0279,0.83,0,0.16,0.287,103.992,audio_features,0sZi5EsUoQ1oLlcyLRss9z,spotify:track:0sZi5EsUoQ1oLlcyLRss9z,https://api.spotify.com/v1/tracks/0sZi5EsUoQ1oLlcyLRss9z,https://api.spotify.com/v1/audio-analysis/0sZi5EsUoQ1oLlcyLRss9z,213577,4
Milestone,0.633,0.335,4,-14.977,1,0.0424,0.751,0.00274,0.358,0.151,130.144,audio_features,4elG4cvqAcHTZLw8Xch1Qy,spotify:track:4elG4cvqAcHTZLw8Xch1Qy,https://api.spotify.com/v1/tracks/4elG4cvqAcHTZLw8Xch1Qy,https://api.spotify.com/v1/audio-analysis/4elG4cvqAcHTZLw8Xch1Qy,263314,4
25 in Barcelona,0.586,0.357,0,-12.249,1,0.0642,0.875,0.00113,0.11,0.549,81.643,audio_features,3T26BJ8XxWaxyxs8oGt8eR,spotify:track:3T26BJ8XxWaxyxs8oGt8eR,https://api.spotify.com/v1/tracks/3T26BJ8XxWaxyxs8oGt8eR,https://api.spotify.com/v1/audio-analysis/3T26BJ8XxWaxyxs8oGt8eR,193467,4
Days in the Sun,0.625,0.459,6,-10.772,1,0.0413,0.819,0,0.118,0.312,126.125,audio_features,7HflJMLb7Fk46J3Hied46l,spotify:track:7HflJMLb7Fk46J3Hied46l,https://api.spotify.com/v1/tracks/7HflJMLb7Fk46J3Hied46l,https://api.spotify.com/v1/audio-analysis/7HflJMLb7Fk46J3Hied46l,214647,4
Dirty AF1s,0.687,0.668,8,-5.99,1,0.385,0.756,0,0.113,0.352,87.175,audio_features,6J1jIKelO3HerpKnTEVVMe,spotify:track:6J1jIKelO3HerpKnTEVVMe,https://api.spotify.com/v1/tracks/6J1jIKelO3HerpKnTEVVMe,https://api.spotify.com/v1/audio-analysis/6J1jIKelO3HerpKnTEVVMe,137000,4
A Tape Called Life,0.507,0.556,6,-11.689,1,0.0396,2.5e-4,0.048,0.207,0.246,173.958,audio_features,4JNFrA5xRJQO2HwHav2b4p,spotify:track:4JNFrA5xRJQO2HwHav2b4p,https://api.spotify.com/v1/tracks/4JNFrA5xRJQO2HwHav2b4p,https://api.spotify.com/v1/audio-analysis/4JNFrA5xRJQO2HwHav2b4p,184964,4
Anyway,0.65,0.156,7,-10.686,1,0.0338,0.742,0,0.126,0.243,133.919,audio_features,5W0SWAcBaCezERveOP0ZTK,spotify:track:5W0SWAcBaCezERveOP0ZTK,https://api.spotify.com/v1/tracks/5W0SWAcBaCezERveOP0ZTK,https://api.spotify.com/v1/audio-analysis/5W0SWAcBaCezERveOP0ZTK,312146,4
closure,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-6,0.134,0.92,151.884,audio_features,35rdVq36LMHQX0Suw9a6tK,spotify:track:35rdVq36LMHQX0Suw9a6tK,https://api.spotify.com/v1/tracks/35rdVq36LMHQX0Suw9a6tK,https://api.spotify.com/v1/audio-analysis/35rdVq36LMHQX0Suw9a6tK,180653,5
ivy,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,audio_features,19CSr8rwW05VJL2F91KFNK,spotify:track:19CSr8rwW05VJL2F91KFNK,https://api.spotify.com/v1/tracks/19CSr8rwW05VJL2F91KFNK,https://api.spotify.com/v1/audio-analysis/19CSr8rwW05VJL2F91KFNK,260440,4
"no body, no crime (feat. HAIM)",0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,audio_features,3RaT22zZsxVYxxKR7TAaYF,spotify:track:3RaT22zZsxVYxxKR7TAaYF,https://api.spotify.com/v1/tracks/3RaT22zZsxVYxxKR7TAaYF,https://api.spotify.com/v1/audio-analysis/3RaT22zZsxVYxxKR7TAaYF,215627,4
‘tis the damn season,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,audio_features,7dW84mWkdWE5a6lFWxJCBG,spotify:track:7dW84mWkdWE5a6lFWxJCBG,https://api.spotify.com/v1/tracks/7dW84mWkdWE5a6lFWxJCBG,https://api.spotify.com/v1/audio-analysis/7dW84mWkdWE5a6lFWxJCBG,229840,4
Dance Monkey,0.824,0.588,6,-6.4,0,0.0924,0.692,1.04e-4,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,209438,4
I'm with You,0.657,0.396,7,-9.255,1,0.0293,0.805,1.58e-6,0.103,0.115,110.003,audio_features,6Qwuw0eOeszVlewLpu24gR,spotify:track:6Qwuw0eOeszVlewLpu24gR,https://api.spotify.com/v1/tracks/6Qwuw0eOeszVlewLpu24gR,https://api.spotify.com/v1/audio-analysis/6Qwuw0eOeszVlewLpu24gR,239787,3
Borderline,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-6,0.0824,0.873,97.96,audio_features,5hM5arv9KDbCHS0k9uqwjr,spotify:track:5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/tracks/5hM5arv9KDbCHS0k9uqwjr,https://api.spotify.com/v1/audio-analysis/5hM5arv9KDbCHS0k9uqwjr,237800,4
Riptide,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,audio_features,3JvrhDOgAt6p7K8mDyZwRd,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,204280,4
Gone (The Pocahontas Song),0.688,0.503,1,-10.356,0,0.046,0.828,1.28e-6,0.088,0.458,124.903,audio_features,6m8mbyoMIs5Tg8HNfStrjQ,spotify:track:6m8mbyoMIs5Tg8HNfStrjQ,https://api.spotify.com/v1/tracks/6m8mbyoMIs5Tg8HNfStrjQ,https://api.spotify.com/v1/audio-analysis/6m8mbyoMIs5Tg8HNfStrjQ,218500,4
The Less I Know The Better,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,audio_features,6K4t31amVTZDgR3sKmwUJJ,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,216320,4
Laps Around The Sun,0.768,0.472,4,-10.047,0,0.0493,0.475,0,0.11,0.145,110.024,audio_features,68ZVCePM9IP0MSbcmeZuup,spotify:track:68ZVCePM9IP0MSbcmeZuup,https://api.spotify.com/v1/tracks/68ZVCePM9IP0MSbcmeZuup,https://api.spotify.com/v1/audio-analysis/68ZVCePM9IP0MSbcmeZuup,206167,4
Part of Me,0.689,0.687,7,-7.832,1,0.0361,0.0674,0,0.0933,0.247,109.98,audio_features,4aosx8uOGPG9aJjm0Dj4dN,spotify:track:4aosx8uOGPG9aJjm0Dj4dN,https://api.spotify.com/v1/tracks/4aosx8uOGPG9aJjm0Dj4dN,https://api.spotify.com/v1/audio-analysis/4aosx8uOGPG9aJjm0Dj4dN,237230,4
Wolves,0.795,0.117,11,-10.155,0,0.0375,0.972,3.46e-6,0.0878,0.125,110.978,audio_features,1nOQp8RblZ31MFQ27KVF1O,spotify:track:1nOQp8RblZ31MFQ27KVF1O,https://api.spotify.com/v1/tracks/1nOQp8RblZ31MFQ27KVF1O,https://api.spotify.com/v1/audio-analysis/1nOQp8RblZ31MFQ27KVF1O,235479,4
drivers license,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-5,0.105,0.132,143.874,audio_features,7lPN2DXiMsVn7XUKtOW1CS,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,https://api.spotify.com/v1/tracks/7lPN2DXiMsVn7XUKtOW1CS,https://api.spotify.com/v1/audio-analysis/7lPN2DXiMsVn7XUKtOW1CS,242014,4
45,0.446,0.555,1,-5.982,1,0.03,0.629,0,0.107,0.438,78.83,audio_features,1gbgwb8AwRo9i42YaqWnj2,spotify:track:1gbgwb8AwRo9i42YaqWnj2,https://api.spotify.com/v1/tracks/1gbgwb8AwRo9i42YaqWnj2,https://api.spotify.com/v1/audio-analysis/1gbgwb8AwRo9i42YaqWnj2,204149,4
State Lines,0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,audio_features,7CoMBpPTwQi2wPT0U0Nr9b,spotify:track:7CoMBpPTwQi2wPT0U0Nr9b,https://api.spotify.com/v1/tracks/7CoMBpPTwQi2wPT0U0Nr9b,https://api.spotify.com/v1/audio-analysis/7CoMBpPTwQi2wPT0U0Nr9b,208653,3
Sunset Lover,0.785,0.525,6,-7.556,1,0.042,0.669,0.439,0.114,0.251,90.853,audio_features,3WRQUvzRvBDr4AxMWhXc5E,spotify:track:3WRQUvzRvBDr4AxMWhXc5E,https://api.spotify.com/v1/tracks/3WRQUvzRvBDr4AxMWhXc5E,https://api.spotify.com/v1/audio-analysis/3WRQUvzRvBDr4AxMWhXc5E,238907,4
Wake Me,0.35,0.563,0,-10.773,0,0.0279,0.516,0.901,0.0984,0.383,107.171,audio_features,6pOiBHK2mMiSNnPsYNGsEc,spotify:track:6pOiBHK2mMiSNnPsYNGsEc,https://api.spotify.com/v1/tracks/6pOiBHK2mMiSNnPsYNGsEc,https://api.spotify.com/v1/audio-analysis/6pOiBHK2mMiSNnPsYNGsEc,331111,4
coney island (feat. The National),0.537,0.537,8,-11.266,1,0.0617,0.819,9.04e-4,0.142,0.292,107.895,audio_features,3k7ne7VmH43ZPWxPdvPUgR,spotify:track:3k7ne7VmH43ZPWxPdvPUgR,https://api.spotify.com/v1/tracks/3k7ne7VmH43ZPWxPdvPUgR,https://api.spotify.com/v1/audio-analysis/3k7ne7VmH43ZPWxPdvPUgR,275320,4
willow,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,audio_features,0lx2cLdOt3piJbcaXIV74f,spotify:track:0lx2cLdOt3piJbcaXIV74f,https://api.spotify.com/v1/tracks/0lx2cLdOt3piJbcaXIV74f,https://api.spotify.com/v1/audio-analysis/0lx2cLdOt3piJbcaXIV74f,214707,4
Unthinkable,0.706,0.505,10,-7.709,0,0.0403,0.356,0,0.109,0.804,180.068,audio_features,6iwlMxEy7gcavuLFwWm9B6,spotify:track:6iwlMxEy7gcavuLFwWm9B6,https://api.spotify.com/v1/tracks/6iwlMxEy7gcavuLFwWm9B6,https://api.spotify.com/v1/audio-analysis/6iwlMxEy7gcavuLFwWm9B6,134758,4
WOMAN,0.594,0.517,6,-6.832,0,0.361,0.553,0,0.0888,0.649,177.21,audio_features,63yD1pa1Ux5Ug4tIi6ygdv,spotify:track:63yD1pa1Ux5Ug4tIi6ygdv,https://api.spotify.com/v1/tracks/63yD1pa1Ux5Ug4tIi6ygdv,https://api.spotify.com/v1/audio-analysis/63yD1pa1Ux5Ug4tIi6ygdv,164166,4
Dress,0.807,0.438,5,-9.596,1,0.182,0.028,0,0.454,0.793,114.994,audio_features,19VgR6RNUxPlZdQm08CZIs,spotify:track:19VgR6RNUxPlZdQm08CZIs,https://api.spotify.com/v1/tracks/19VgR6RNUxPlZdQm08CZIs,https://api.spotify.com/v1/audio-analysis/19VgR6RNUxPlZdQm08CZIs,143500,4
good 4 u,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4
Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-5,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
